DBA,ZIPCODE
Popeyes Louisiana Kitchen,11224
Kennedy Fried Chicken,11418
Popeyes Louisiana Kitchen,11203
Subway,11434
Subway,11209
Apu Kennedy Fried Chicken,11434
Dunkin,10036
Popeyes Louisiana Kitchen,10128
Domino's,11207
Chick'n Go,10306
Dunkin,11208
Domino's Pizza #3689,10128
Little Caesars,10466
Kennedy Fried Chicken,10456
Chipotle Mexican Grill,10038
Dunkin',10016
Dunkin',10033
Dunkin' / Popeyes,11221
Dunkin,11414
Starbucks Coffee Company,10461
Kennedy Fried Chicken,10469
Dunkin,10467
Chicken Feastin,10025
Dunkin,11422
Domino's,11433
Peppa's Jerk Chicken,11225
Papa John's,11436
Dunkin,10454
Subway,10463
Peppa's Jerk Chicken,11216
Starbucks,11432
Dunkin,10001
Sweetie's K-Chicken,11222
Dunkin',10029
Chicken Shack,10465
Dunkin,10302
Hanyang Chicken,11354
Papa John's,11226
Dunkin',10018
Subway,10002
Papa John's,10467
Dunkin,11356
Subway,10465
Dunkin',10016
Dunkin,11209
Starbucks,11355
Papa Johns Pizza,10306
Popeyes,10314
Linden Fried Chicken,11208
Subway,10466
Papa John's Pizza,10039
Burger King,10006
Kennedy Fried Chicken,10456
Popeyes,11374
Apu Kennedy Fried Chicken,11434
Dunkin,10001
Starbucks Coffee,10065
Popeyes Louisiana Chicken,11223
Starbucks Coffee,10001
Popeyes,11101
Subway,11228
Subway,11426
Five Guys,10038
Dunkin',11220
Kennedy Fried Chicken & Pizza,10456
Sonic Drive-In,10307
Bonchon Chicken,11358
Dunkin,10024
Subway,11361
Dunkin',10013
Sabba's Chicken,10472
Kennedy Chicken & Grill,11226
Shake Shack,10019
Starbucks,10024
Papa John's,11412
Burger King,11226
Dunkin,11418
Panda Express # 2792,10025
Popeyes,10467
Subway,10010
Kennedy Chicken,10457
Subway,10044
"Burger King, Popeyes",11234
Dunkin,11420
Domino's,11422
Starbucks,10023
Starbucks,10023
Texas Hot Chicken And Wings,11432
Taco Bell,11105
Subway,10044
Dunkin' / Baskin Robbins,11372
Dunkin,11214
Dunkin' / Baskin Robbins,11378
Dunkin Donuts,10469
Burger King #27012,10303
Dunkin,10024
Kfc,11212
Starbucks,11204
Dunkin #363522,10001
Kennedy Fried Chicken,10451
Popeyes Louisiana Kitchen,11208
Papa John's Pizza,10029
Papa John's Pizza,11368
3 Chick,10036
Dunkin,11235
Popeyes,11433
Crown Fried Chicken,11212
Dunkin,10018
Kennedy Fried Chicken,10451
Taco Bell,11211
Dunkin,11004
Dunkin',11373
Chipotle Mexican Grill #3020,11432
Chipotle Mexcian Grill # 2760,11101
Sweet Chick,11249
Subway,10032
"Dunkin , Baskin Robbins",11356
Starbucks Coffee,11230
Dunkin',11206
Starbucks,10019
Shake Shack,10014
Dunkin,11434
Medina Fried Chicken & Indian Cuisine,11416
Dunkin,10461
Dunkin Donuts,11105
Dunkin,10017
Subway,11224
Tex's Chicken & Burgers,11226
Subway,10466
Double Chicken Please,10002
Subway 12608,11106
Burger King,10314
Chipotle Mexican Grill,10022
Dunkin,10302
Chubby Burgers Chicken & Pizza,11102
Kfc,10469
Dunkin',11378
Burger King,11226
New Uncle Fried Chicken,11432
Dunkin,10027
Dunkin' Donuts,10036
Milano Pizza & Fried Chicken,10460
"Dunkin', Baskin Robbins",11233
Five Guys Famous Burgers And Fries,11365
Dunkin,10033
Burger King,10475
Subway,10001
Dunkin,10005
Starbucks Coffee #29856,11215
Subway,10036
Little Caesars,10029
Starbucks,10281
Popeyes,11213
Turntable Chicken Jazz,10001
Domino's,11228
Panda Express,10003
Krazy Chicken And Wings,11233
Chickn Rotonda,11379
Topaze Restaurant & Jerk Chicken,11234
"Dunkin', Baskin Robbins",11367
Dunkin Donuts,10475
Kfc,11432
Dunkin',11373
"Dunkin', 'Baskin Robbins",11375
Dunkin Baskin Robbins,10035
Dunkin,10455
Starbucks,11101
Chicken Rice,10012
Chicken Hot Pot,11355
Kennedy Fried Chicken,10451
Sweet Chick,11238
Dominos,10314
Chipotle Mexican Grill,11375
Darbar's Chicken & Ribs,11419
Subway,10301
Kfc,11212
Burger King,11225
Dunkin,10018
Kennedy Chicken,10462
Starbucks,10039
Subway,10019
Pelicana Chicken,11358
Starbucks Coffee #823,10075
Popeyes,10010
Dunkin',11226
Dunkin',11226
Domino's,11203
Subway,10022
Starbucks,10001
Starbucks Coffee#54771,11360
Dunkin',11104
New Texas Chicken & Grill,11385
Popeyes,10465
Dunkin',10017
Bella Chicken And Burger,10468
Dunkin,10314
Dunkin' / Baskin Robbins,11372
Koo Koo Chicken,11214
"Dunkin',' Baskin Robbins",10034
Burger King,11219
Wendy's,10036
786 Crown Chicken & Pizza,11233
Pelicana Chicken,11104
The Original American Chicken,11372
"Burger King, Cinnabon",10001
Tex's Chicken & Burgers,11226
Kennedy Fried Chicken,10468
Kennedy Chicken & Pizza,10035
Dunkin,10460
Dunkin,11354
"Dunkin',' Baskin Robbins",11236
Taco Bell,10029
Kfc,11203
Subway,10473
Subway,11354
Little Caesars,10473
Rico's Chicken Pollos A La Brasa,11355
Panera Bread,10024
Subway,11217
Kennedy Chicken & Pizza,10035
Little Caesars,10466
Dunkin,10014
Dunkin',11236
Popeyes,11415
The Chicken Shack,11106
Starbucks,10023
Dunkin',11213
Papa Johns Pizza,11209
Chipotle Mexican Grill,10023
Mad For Chicken,10011
Starbucks,10038
Starbucks,10018
Starbucks Coffee #823,10075
Dunkin,10001
Starbucks Coffee Company,10461
Crown Fried Chicken,11213
Sonic Drive-In,10307
Panera Bread #9202,10065
Dunkin,10461
Subway,10018
Popeyes Louisiana Kitchen,11237
Subway,10027
Dunkin,10472
Texas Chicken & Burgers,10454
Dunkin,11216
Subway Cafe,10036
Little Caesars,10029
Rokstar Chicken,11362
"Panera, Llc",11004
Dunkin' / Baskin Robbins,11222
Chipotle Mexican Grill,11373
Starbucks,10024
Dunkin',11226
Dunkin-Baskin Robbins,10016
Chipotle Mexican Grill #3706,10462
Kennedy Fried Chicken,10461
Dunkin,10036
Dunkin,10303
Starbucks,10310
Subway,10467
Dunkin',10018
New Uncle Fried Chicken,11432
Popeyes,11422
Dunkin,10301
Dunkin',11236
Halal Chick's,10025
John's Fried Chicken,10034
Chipotle Mexican Grill #3477,10033
New Texas Fried Chicken & Pizza,11377
Starbucks Coffe #55085,10001
375 Chicken,11201
Dunkin,11354
Dunkin,10003
Five Star Kennedy Pizza Chicken & Waffles,10454
Dunkin',10022
Dunkin',10007
Subway,11372
Papa John's,11214
Subway,10462
Dunkin,10011
Chipotle Mexican Grill,10458
Dunkin,11358
Subway,11418
Dunkin,10459
Popeyes,11433
Subway,10302
Subway,10022
Subway,10018
Dunkin,11377
Chipotle Mexican Grill #3742,11354
Chipotle Mexican Grill #3020,11432
Mexiko / Carlos & Gabby's / Graze Smokehouse / Rosa's Chicken,10024
Dunkin,11365
Burger King,10036
Popeyes,11207
Ace Burger & Crispy Chicken,11219
Papa John's Pizza,10025
Papa John's,10467
Dunkin',11210
Subway,10001
Crown Chicken & Deli,11208
Starbucks Reserve Roastery,10011
Dunkin,10314
Starbucks,10001
Starbucks,10023
Sabba's Chicken,10472
John's Fried Chicken,10034
Kennedy Fried Chicken & Salad Bar,10467
Burger King,11419
Dunkin,10461
Chipotle Mexican Grill,10003
Kennedy Chicken Pizza & Kabab,11372
Subway / Star Mini Mart,11354
Taco Bell,11211
Pitkins Fish & Chicken,11213
Starbucks Coffee Company,10309
Subway,10022
Starbucks,10017
Dunkin-Baskin Robbins,10016
Panda Express,11201
Domino's Pizza,10029
Starbucks,11373
Chipotle Mexican Grill #4602,10467
Chipotle Mexican Grill #3741,11232
Dunkin,11361
"Dunkin', Baskin Robbins",11367
Wendy's,10305
Dunkin,11361
Chipotle Mexican Grill,10036
Popeyes Louisiana Kitchen,10001
Kennedy Fried Chicken,11226
Dunkin Donuts,10472
Subway,11432
Dunkin',10018
Burger King,11427
Taco Bell,10029
Wendy Teriyaki / Sushi Yoshi,11103
"Dunkin',' Baskin Robbins",10473
Burger King,11434
Pelicana Chicken,11361
Popeyes Louisiana Kitchen,11212
Dunkin,10001
Starbucks Coffee,10010
Wendy's,10018
Dunkin',11210
Panda Express,11105
Mad For Chicken,10011
Wendy's,10004
Starbucks,11385
Subway,10036
Kennedy Fried Chicken,10475
Subway,11234
Blazin Chicken & Gyro,10452
Kfc,11237
Dunkin,11218
Dunkin,11356
Dunkin,11239
Fried Chicken With The Sauce,11226
Crown Fried Chicken,11432
Dunkin,11435
Dunkin,11209
Chipotle Mexican Grill #3309,11201
Dunkin,10459
Domino's Pizza #3692,10029
Kenedy Chicken & Pizza,10472
Papa John's,11412
Starbucks Coffee,10001
Crown Fried Chicken,11413
Subway,10031
"Crown Fried Chicken, Pizza & Coffee Shop",11208
Little Caesars,11372
Subway,10462
Starbucks,10173
Taco Bell,11211
Starbucks,10011
Chipotle Mexican Grill #3056,10031
Subway,10314
Dunkin,10475
Mad For Chicken,10011
Kennedy Chicken & Burgers,10458
Dunkin,10128
Sonic,11206
Dunkin,11385
Subway,11106
Dunkin,11211
Five Guys Famous Burgers And Fries,10001
Dunkin',10019
Popeyes,10038
Popeyes Louisiana Kitchen,11212
Domino's (#3321),10451
Dunkin' / 'Baskin Robbins,11102
Kennedy Fried Chicken & Pizza,10455
Dunkin',11375
Wendy's,11385
Subway,11423
Subway,10314
Domino's,10025
Chipotle Mexican Grill #3483,11435
Starbucks Coffee #70726,10119
Burger King,11369
Subway,10459
Dunkin,11377
New York Fried Chicken Shake'n Burger,11435
Texas Chicken & Burger,11226
Daves Hot Chicken,10019
Kennedy Chicken & Burger,10466
Popeyes,11207
Kfc,11218
Subway,10025
Papa Chicken,11355
Starbucks,10007
Kfc,10469
Chipotle Mexican Grill #4066,10463
Starbucks,10039
Subway,10023
Kennedy Fried Chicken,10452
Kennedy Fried Chicken,10466
Dunkin,10472
Dunkin,11223
Kennedy's Fried Chicken & Biscuits,10458
Kfc,11354
Chipotle Mexican Grill #4526,10025
Kfc,10458
"Dunkin',' Baskin Robbins",11432
Chipotle Mexican Grill,10465
Wendy's,11214
Dixy Chicken & Grill,11209
Texas Fried Chicken,10026
Peppa's Jerk Chicken,11216
Chirping Chicken,10017
Dunkin Donuts,10007
Popeyes,11223
Papa John's Pizza,11373
Kentucky Fried Chicken,10029
Subway,11432
Taco Bell,11377
Domino's Pizza #3687,10016
Kennedy Fried Chicken,10458
Subway,10010
Starbucks,10017
Domino's,11207
Dunkin',11224
Domino's,11234
Qdoba,10468
Starbucks Coffee #83164,10473
Kenedy Chicken & Pizza,10472
Chipotle Mexican Grill # 3265,11234
Taco Bell Cantina,10018
Dunkin',11219
Burger King,10455
Rochdale Chicken And Fish 90z,11212
Dunkin,11205
Dunkin' / Baskin-Robbins,11105
Taco Bell,10463
Dunkin - Baskin Robbins,10452
Kennedy Fried Chicken,10457
Subway,11212
Taco Bell,11385
Tko Chicken & Ribs,11234
Taco Bell,10453
Starbucks,11385
Starbucks,10013
Dunkin,10465
Dunkin',10029
Starbucks,10016
Burger King,10452
Kennedy Fried Chicken,10459
Dunkin,11357
Chipotle Mexican Grill,10018
Popeyes,11206
Popeyes,11105
Burger King,11434
Taco Bell,10029
Er Hou Roast Chicken Takeout,11354
Starbucks,10014
Dunkin Baskin Robbins,11354
Dunkin & Jimmy John's,10001
Popeyes,10003
Popeyes Louisiana Kitchen,11203
Domino's,11374
Burger King,10466
Dunkin,10001
Chipotle Mexican Grill,10003
Papa John's Pizza,11433
Starbucks,10001
Wendy's,10305
Burger King,10466
Kennedy Fried Chicken & Pizza,10455
Taco Bell,10302
Kfc,11432
Dunkin,10310
"Dunkin', Baskin Robbins",11233
Kansas Chicken & Burger,11212
Subway,10011
Krazy Chicken And Wings,11233
Kennedy Fried Chicken,11368
Kennedy Chicken & Grill,11226
Dunkin',11225
Starbucks,10016
Bayside Chicken Lovers,11361
Starbucks,11211
Qdoba Mexican Eats,10309
New Texas Chicken & Grill,11385
Subway,10305
Dunkin,10038
Dunkin,10128
Koo Koo Chicken,11214
Taco Bell,10003
Domino's,11228
Subway,11378
Wendy's,10018
Papa John's,11106
Chick It Out,11106
Pelicana Chicken,11222
Dunkin,10013
Subway,10013
Nelly's Chicken & Pizza,10032
Dunkin,11211
Pelicana Chicken,11375
Dunkin,10001
Kennedy Chicken,11422
Popeyes,11234
Dunkin,11356
Mama's Fried Chicken,10026
Dunkin,11374
Kennedy Fried Chicken,10456
Dunkin,11415
Domino's,10305
Papa John's Pizza,10029
Kennedy Chicken And Halal Express,10473
Kennedy Fried Chicken,10457
Taco Bell,10314
Starbucks,10006
Subway,10306
New York Fried Chicken & Pizza,11223
Crown Fried Chicken,11216
Subway,10028
Dunkin',11236
Starbucks Coffee # 62553,11357
Mamas Chicken Corp,11432
Dunkin’,10018
Starbucks Coffee,11373
Shake Shack,11201
Starbucks,10014
"Subway, Krispy Krunchy Chicken",11420
Starbucks Coffee #29719,11215
Dunkin,10454
Subway,10451
Taco Bell,11105
Texas Chicken & Burger,10462
Dunkin,10013
Texas Chicken & Burgers,10460
Starbucks Coffee,10026
Dunkin,10467
Starbucks,10016
Starbucks,11354
Kfc,10003
Starbucks,11373
Texas Chicken And Burgers,11230
Dunkin' / Baskin Robbins,11379
Dunkin,10460
Dunkin Baskin Robbins,11354
Little Caesars,11206
Chicken Feastin,11221
Us Kennedy Fried Chicken Pizza,10455
Starbucks,11209
Chipotle Mexican Grill,10036
Kfc,11218
Chipotle Mexican Grill #3957,10455
Kennedy Fried Chicken,10457
Dunkin',11361
Popeyes,11354
Mr. Chicken And Mrs. Tea,11417
Taco Bell,10453
Dunkin,11422
Subway,10035
Popeyes,11216
Subway,10035
Popeyes,10029
Kennedy Chicken & Grill,11226
Dunkin' / Baskin Robbins,11215
Starbucks Coffee,10016
Burger King,10038
Starbucks Coffee,10016
Taco Bell,11370
"Dunkin',' Baskin Robbins",10001
Popeyes,11235
La Casa Del Taco,10033
Wendys,10462
Dunkin,11215
Nyc Famous Chicken,11208
Dunkin,10465
Shake Shack,10314
"Dunkin', Baskin Robbins",11435
Zhengxin Chicken Steak,11214
Halal Fried Chicken & Pizza,10457
Starbucks,10024
Dunkin,11249
Subway,10461
Subway,11232
Dunkin,11235
Shake Shack,10017
Dunkin,11214
Dunkin',11206
Kfc,11411
Papa John's Pizza,10472
Domino's,10021
Subway,11423
Ba Sak Chicken,11358
New Canarsie Chicken & Gyro,11236
Dunkin,10302
Dunkin',10036
"Burger King, Popeyes",11366
Burger King,10314
Kennedy Fried Chicken,10029
Tmb Grilled Chicken,11364
Chipotle Mexican Grill,10007
Subway,11237
Bayside Chicken Lovers,11361
Crown Fried Chicken,11238
Burger King,10467
Dunkin,11428
Subway,10010
Kennedy Fried Chicken,10453
Dunkin',10466
Wendy's,10314
Dunkin,10019
Taco Bell,10467
Dunkin,10454
Dunkin,11419
The Chicken Shack,11106
La Ruta Del Taco,11421
Five Guys Famous Burgers And Fries,10018
Dunkin,10033
Dunkin',11236
Kfc,11212
Dunkin',11210
Popeyes,10302
"Dunkin', Baskin Robbins",11435
Starbucks #7277,10010
Subway,10031
Burger King,11237
Popeyes,11223
Kfc,10455
Kennedy Fried Chicken,10467
Domino's,10031
Popeyes,10010
Chicken Feastin,11221
Papa John's,11217
375 Chicken N Fries,10036
"Dunkin',' Baskin Robbins",11435
"Dunkin', 'Baskin Robbins",11357
Gou Bang Zi Chicken,11354
Starbucks,10301
Dunkin,11204
Peppa's Jerk Chicken,11226
Subway,11423
Dunkin,11103
Dunkin Donuts / Baskin Robbins,10025
Chipotle Mexican Grill,10003
Dunkin',10473
Kennedy Fried Chicken,10452
Kennedy Fried Chicken,10467
Taco Bell,10459
Bb.q Chicken,10001
Papa Johns Pizza,11223
Dunkin,11385
Just Chick'n,11234
Chipotle Mexican Grill,10014
Kennedy Fried Chicken,11420
Starbucks,10022
Shake Shack,10025
Domino's,11385
Dunkin',10040
Popeyes Louisiana Chicken,11223
Popeyes,10451
Subway Cafe,10036
"Dunkin',' Baskin Robbins",10453
Dunkin,11229
Kennedy Fried Chicken,11418
Chipotle Mexican Grill,10021
Kennedy Fried Chicken,10472
The Original American Chicken,11104
Hanyang Chicken,11354
Dunkin,10022
Dunkin',10466
New York Fried Chicken Shake'n Burger,11435
Kfc,11421
Little Caesars,10303
Subway,11368
Dunkin,10314
Starbucks,10021
Kfc,11212
Popeyes Louisiana Kitchen,11368
Kennedy Fried Chicken,10033
Taco Bell,10306
Dunkin,10024
Crown Fried Chicken,11211
Popeyes,11215
King's Fried Chicken & Burger,11213
Chicken Hot Pot,11355
Amazing Chicken & Gyro,10467
Peppa's Jerk Chicken,11413
"Dunkin',' Baskin Robbins",10065
Dunkin,11236
"Subway, Krispy Krunchy Chicken",11420
Subway,10010
Tkk Fried Chicken,11354
Zalim Hot Chicken & Burgers,11209
Kennedy Fried Chicken,10462
Taco Bell,10033
Taco Bell,10003
Burger King,10466
Sam Burger Grill Chicken & Pizza,11237
Chipotle Mexican Grill,10024
New Canarsie Chicken & Gyro,11236
Subway,11692
Taco Bell,10463
Subway,11214
Dunkin' / Baskin Robbins,10026
Texas Fried Chicken,10040
Shake Shack,11216
Burger King,11214
Dunkin' / 'Baskin Robbins,10014
Dominos,10314
Papa John's,11368
Kennedy Fried Chicken,10457
Starbucks,10034
Dunkin,11205
Starbucks,11209
Popeyes Louisiana Kitchen,11224
Popeyes,11428
Texas Chicken & Burgers,10459
Crown Fried Chicken,11238
Kennedy Chicken,11207
Crown Fried Chicken,11434
Dunkin,11209
Subway,11207
Starbucks,10017
Dunkin,11356
Burger King,10472
Kennedy Chicken And Grill,10460
Kfc,10039
Subway,11421
Wendy's,10475
Dunkin’,10018
"Dunkin',' Baskin Robbins",11417
Starbucks,11372
Taco Bell Cantina,10458
Dunkin,11367
Shake Shack,11201
Texas Chicken,10037
Five Star Kennedy Pizza Chicken & Waffles,10454
Popeyes,11412
Kennedy Fried Chicken,10452
Domino's,10011
Kennedy Fried Chicken,10460
Popeyes,10014
Subway,10473
Shake Shack,10036
Dunkin,11105
Popeyes Louisiana Kitchen,11237
"Dunkin',' Baskin Robbins",10458
Bella Chicken And Burger,10468
New Uncle Fried Chicken,11432
Chipotle Mexican Grill,10018
Panda Express,11210
Dunkin,10459
Popeyes,10467
Subway,10022
"Dunkin', Baskin Robbins",11364
Crown Fried Chicken,11207
Starbucks,10065
Texas Chicken,10037
Mad For Chicken,11104
Starbucks,10314
Rokstar Chicken,11206
Dunkin',11354
Taco Bell,11374
Dunkin',10466
Popeyes,10462
Starbucks,10027
Dunkin',10018
Chipotle Mexican Grill #4066,10463
Popeyes,10455
Subway,11417
Kennedy Fried Chicken,11226
Starbucks,10173
Dunkin/Baskin,10303
The Graham Pizza & Chicken,11206
Kfc,11203
Mr. Chicken And Mrs. Tea,11417
Five Guys Famous Burgers And Fries,11385
Burger King,11374
Dunkin,11249
Papa John's Pizza,11212
Dunkin,11435
Chick-Fil-A,10010
Texas Chicken & Burgers,11422
Kennedy Fried Chicken & Salad Bar,10467
Sweet Chick,10003
Dango Chicken,11362
Dunkin,11218
Crown Fried Chicken,11212
Dunkin,11106
Starbucks Coffee,10027
Kennedy Fried Chicken,10451
Dunkin' / Baskin Robbins,11378
Dunkin,11413
Subway,11354
Texas Chicken And Burger,10468
Dunkin' Donuts/Baskin Robbins,10016
Little Caesars,10470
Dunkin,11364
Dunkin,10007
Chipotle Mexican Grill,10025
Little Caesars,11421
Subway,11212
Chipotle Mexican Grill #3741,11232
Papa John's,11104
Popeyes,11221
Dominos,11206
New Rio Fried Chicken & Pizza,11432
Milano Pizza & Fried Chicken,10460
"Burger King, Popeyes",11366
Dunkin,10461
Kennedy Fried Chicken,10451
Dunkin,11385
Domino's,10470
Dunkin',11225
Dunkin',11204
Blazin Chicken & Gyro,10452
Dunkin,10463
Rose Cafe/Kennedy Fried Chicken,11435
Burger King,11201
Starbucks,10011
Kennedy Chicken & Burger,10466
Subway,10453
Wendys,10462
Charles Pan-Fried Chicken,10027
Starbucks,10065
786 Crown Chicken & Pizza,11233
Rochdale Chicken And Fish,11434
Papa John's,11236
Subway,11432
Dunkin,11365
Dunkin',11378
Kennedy Fried Chicken,10456
Dunkin,11106
Unidentified Flying Chicken,11372
Domino's,10022
Starbucks Coffee # 78555,11101
Wendy's,10004
Kennedy Chicken & Grill,11226
Papa John's Pizza,10466
Chipotle Mexican Grill,10028
"Burger King, Popeyes",11234
Crown Fried Chicken,11212
Crown Fried Chicken,11216
375 Chicken N Fries,10036
Dunkin,10474
Burger King,11369
Burger King,11423
Texas Chicken & Burgers,10459
Dunkin,11214
Starbucks,10021
Taco Bell,11105
Dunkin' / Baskin Robbins,10019
Boongs Chicken,10021
Burger King,10007
Dunkin,11430
Starbucks,10005
Dunkin,10017
Crown Fried Chicken,11221
Subway,11419
Popeyes,11213
Dunkin,10006
Starbucks,10027
Chipotle Mexican Grill,10036
Kennedy Fried Chicken,10469
Kennedy Fried Chicken,10029
Chipotle Mexican Grill #3312,11103
Kfc,10001
Burger King,10452
Panera Bread,11101
New Mama's Fried Chicken,10455
Starbucks,10011
Shake Shack,11432
Dunkin,10461
Dunkin,11235
Dunkin Donuts,10007
Starbucks,10033
Dunkin',10019
375 Chicken N Fries,10036
Subway,10036
Dunkin Donuts,10022
Turntable Chicken & Rock,10001
Domino's,10455
Domino's,10033
Popeyes,11225
Dunkin,11223
Dunkin,10018
Starbucks,11432
Starbucks,10019
Chipotle Mexican Grill #3544,10019
Popeyes Louisiana Kitchen,10457
Chipotle Mexican Grill #2838,10451
Popeyes,10302
Sabba's Chicken,10039
Panera Bread #6366,10463
Subway,10023
"Dunkin', 'Baskin Robbins",11208
Domino's,10472
Subway,10025
Dunkin',11210
"Dunkin',' Baskin Robbins",11230
Burger King,11361
"Dunkin',' Baskin Robbins",11230
Starbucks Coffee,11217
U.s Kennedy Fried Chicken,10452
Dunkin,11427
Popeyes,11234
Texas Fried Chicken,10026
Starbucks Coffee,10036
Chicken Spot,10454
Starbucks,10028
Popeyes Louisiana Kitchen,11385
Dunkin,10018
Subway,11361
Starbucks,10022
Dunkin,10475
Taco Bell,11377
Dunkin,10309
Blazin Chicken & Gyro,10452
Chipotle Mexican Grill #3483,11435
Chipotle Mexican Grill,10016
Dunkin,11216
Mad For Chicken,11375
Mad For Chicken,11361
Kfc,10003
Burger King,10029
Subway,10037
Dunkin,10465
Popeyes Louisiana Kitchen,10128
Starbucks Coffee,11230
Sweet Chick,11249
Kfc,10455
Dunkin,11354
Dunkin Donuts,11414
Starbucks,10022
Sabba's Chicken,10472
Dunkin' Donuts,10460
Starbucks Coffee,11234
Starbucks,10010
Popeyes Louisiana Kitchen,10003
Burger King,11434
Popeyes,11373
Dunkin,10314
Sam Burger Grill Chicken & Pizza,11237
Starbucks,10310
Kennedy Chicken & Pizza,10456
"Taco Bell, Piattino, Green Leafs",10314
Dunkin,10454
Dunkin,10003
Domino's,10027
New York Fried Chicken,11434
Texas Chicken & Burgers,10031
Subway,10306
Starbucks,10036
Chipotle Mexican Grill #3309,11201
Taco Bell,11220
Papa John's,11412
Taco Bell,10472
Dunkin/ Mama Mia's Pizza,11432
Kfc,10469
Popeyes,11237
Popeyes Louisiana Kitchen,11368
Dunkin,10314
Kfc,11411
Subway,10463
Texas Chicken & Burgers,11419
Subway,10002
Chipotle Mexican Grill,11210
Starbucks (Fordham University),10458
Dunkin,11368
Dunkin,10460
Kennedy Fried Chicken,10466
Kennedy Fried Chicken,11354
Dunkin,10471
Papa John's,11416
Subway,10451
"Dunkin', Baskin Robbins",11204
Popeyes Louisiana Kitchen,10003
Little Caesars,10455
Subway,10002
Dunkin,11208
Popeyes,11434
Starbucks,11430
Crown Fried Chicken,11216
Starbucks,10023
"Dunkin',' Baskin Robbins",11208
Dunkin,10029
Kennedy Fried Chicken & Salad Bar,10467
Us Fried Chicken & Pizza,11231
Burger King,11220
Kfc,10033
Subway,10451
Kfc,11372
Dunkin Donuts,10022
Rico's Chicken,11379
Halal Chick's,10025
Dunkin,11211
Sonic Drive-In,10307
Little Caesars,10452
Subway,10019
Dunkin Donuts,10011
Domino's,10305
Starbucks,10005
Dunkin',11418
Subway,11692
Starbucks,10022
Chicken Spot,10454
Subway,10467
Kennedy Fried Chicken,10461
Chipotle Mexican Grill,10019
Popeyes Louisiana Kitchen,11205
Subway,11101
Subway,10018
Kennedy Fried Chicken,11207
Dunkin,10467
Popeyes Louisiana Kitchen,11203
Dunkin,11234
Starbucks,10022
Kennedy Fried Chicken & Salad Bar,10467
Dunkin',10017
Texas Chicken & Burger,10462
Papa John's,10462
Taco Bell,11354
Taco Bell,11368
Little Caesars,10461
Dunkin,11419
Dunkin,11373
Dunkin,11209
Chipotle Mexican Grill,10038
Starbucks Coffee # 85552,10112
Dunkin,10011
Burger King,11354
Kennedy Fried Chicken,11420
Popeyes,11236
Chipotle Mexican Grill #2879,11238
Five Guys,10038
"The Prime Rib, Dunkin Donuts - Fa8040 (Ca8041)",10121
Dunkin,11229
Butterflied Chicken,10036
"Dunkin',' Baskin Robbins",11230
"Dunkin',' Baskin Robbins",10453
Panera Bread,10475
Starbucks,10019
Starbucks,10011
Dunkin,11229
Papa John's,11366
Domino's,10472
Little Caesars,10462
Texas Chicken & Burgers,11224
Dunkin,11430
Wendy's,10301
Starbucks,10003
Kennedy Chicken And Burger,10466
Texas Chicken & Burger,10462
Dunkin,10128
Chicken Is Back,11362
Popeyes,10452
Dunkin,10029
Dunkin,10024
Dunkin' / Baskin Robbins,11378
Panda Express,11373
Wendy's,10469
Domino's,10452
"Dunkin', 'Baskin Robbins",11375
Dunkin,10065
Kennedy Fried Chicken,11377
Starbucks,10014
Mad For Chicken,11361
Dunkin,10035
Blazin Chicken & Gyro,10452
Dominos,10314
Subway,11375
Starbucks Coffee Company,11373
Domino's,10021
Texas Chicken & Burgers,10454
Dunkin Donuts,10453
Chick-Fil-A,10314
Mamas Chicken Shack Happy Dumpling,10036
Dunkin'/Baskin Robbins,10462
Popeyes,10035
Crown Fried Chicken,11432
Dunkin',11210
Dunkin,11229
"Dunkin', Baskin Robbins",10128
Sonic,11206
Lou Yau Kee Hainan Chicken Rice Ii,10169
Shake Shack,10010
Popeyes,11105
Blue Ribbon Fried Chicken,10003
Kentucky Fried Chicken,10029
Dunkin,10001
Burger King,11418
Dunkin,10028
786 Crown Chicken & Pizza,11233
Subway,10016
Dunkin,10461
Little Caesars,10033
Subway,10025
Wendys,11209
Domino's,11103
Dunkin,10305
Taco Bell,10452
New Texas Chicken & Grill,11385
Dunkin,11418
Kennedy Chicken & Grill,11226
Popeyes Louisiana Kitchen,10001
Flamin' Chicken & Pizza,11207
Crown Fried Chicken & Pizza,10035
Chick Chick,10024
Dunkin,11411
Moonlite Grill & Chicken,11372
Dunkin,11360
Domino's,10025
Chickenow,10475
Dunkin,11385
Chick-Fil-A At 2276 Bartow Avenue,10475
Dunkin,10468
Dunkin,11234
Popeyes Louisiana Kitchen,10128
Starbucks,10001
Kfc,10463
Dunkin,10029
Dunkin,10004
Dunkin' / Baskin Robbins,11221
Starbucks,10001
Dunkin,10312
Kennedy Chicken & Pizza,10468
Kfc,11234
Starbucks,11365
Papa John's,11436
Crown Fried Chicken,10031
Shake Shack,11375
Kfc / Taco Bell,11222
Starbucks,10017
Chipotle Mexican Grill,11201
Taco Bell,11418
Kennedy Fried Chicken,10033
"Burger King, Popeyes",11366
Subway,10305
Dunkin,10308
Starbucks,10016
Crown Fried Chicken,11432
Dunkin,10309
Domino's,10033
Popeyes,11224
The Original American Chicken,11372
"Kfc, Taco Bell",10457
Dunkin,10461
Dunkin',10019
Sweet Chick,11238
Starbucks Coffee,10038
