DBA,ZIPCODE
Dunkin' / Baskin Robbins,11385
Popeyes Louisiana Kitchen,10457
Wendy's,10452
Subway,10018
Subway,10003
Dunkin',10040
Chipotle Mexican Grill #2834,11374
Dunkin,11204
Panda Express,10022
Dunkin',11226
Panera Bread,10003
Starbucks,10034
Dunkin,11356
Subway / Star Mini Mart,11354
Dunkin,11373
"Dunkin',' Baskin Robbins",11435
Popeyes,11222
La Ruta Del Taco,11421
Kennedy Fried Chicken,10456
Dango Chicken,11362
Wendy's,11207
Five Guys,11210
"Dunkin',' Baskin Robbins",10453
Gai Chicken & Rice,10017
Kennedy Fried Chicken And Pizza,10456
Texas Chicken & Burger,10462
"Dunkin',' Baskin Robbins",11432
Chick-Fil-A,10458
Domino's Pizza,10029
Topaze Restaurant & Jerk Chicken,11234
Taco Bell,10031
Blazin Chicken & Gyro,10452
Chipotle Mexican Grill #2407,11229
Chipotle Mexican Grill,10013
Dunkin',10004
Dunkin,11203
Taco Bell,10010
Starbucks,10001
Panda Express,10022
Chipotle Mexican Grill,10038
Subway,11369
Starbucks,10003
Chongqing Zaier (Bo Bo Chicken),11354
Starbucks Coffee,11234
Domino's Pizza #3687,10016
Dunkin Donuts,11432
Taco Bell,11377
Krispy Fried Chicken & Pizza,10452
Starbucks,10001
Subway,10001
Sweet Chick,11238
"Burger King, Popeyes",11209
Subway,10463
Dunkin,11354
Dunkin,11361
Dunkin,10461
Starbucks,11222
Sonic Drive-In,10307
Starbucks,10022
Subway,10007
Dunkin,11372
Five Guys,11360
Subway,10002
Subway,10037
Texas Chicken,10037
Dunkin,11354
Starbucks,10314
Starbucks,10065
Dunkin,10027
Subway,11426
Kew Gardens Chicken,11415
Kfc,11354
Just Chick'n,11234
Subway,10007
Chirping Chicken,10024
Crown Fried Chicken & Pizza,10035
"Burger King, Popeyes",11366
Rico's Chicken Pollos A La Brasa,11355
"Dunkin',' Baskin Robbins",10034
Wendy's,10305
Starbucks,10005
Gai Chicken & Rice,10038
"Crown Fried Chicken, Pizza & Coffee Shop",11208
Dunkin Donuts,10002
Mister Chicken Ii,11101
Subway,11237
Dunkin,11209
Starbucks,11414
Subway,10035
Papa Johns Pizza,10310
Mad For Chicken,10011
Peppa's Jerk Chicken,11413
