"County","License Number","Operation Type","Establishment Type","Entity Name","DBA Name","Street Number","Street Name","Address Line 2","Address Line 3","City","State","Zip Code","Square Footage","Georeference"
"ERIE","738296","Store","AC","BARREL & BRINE INC","BARREL & BRINE","155","CHANDLER STREET, SUITE #3 ####",,,"BUFFALO","NY","14207","3,700","POINT (-78.88523 42.94336)"
"ROCKLAND","738293","Store","AC","MECCA HALAL MEAT & GROCERY INC","MECCA HALAL MEAT & GROCERY","286","N MAIN ST #1 ###",,,"SPRING VALLEY","NY","10977","1,200","POINT (-74.04076 41.12544)"
"QUEENS","738291","Store","A","CVS ALBANY LLC","CVS/PHARMACY #2718","178-02","HILLSIDE AVE",,,"JAMAICA","NY","11432",,"POINT (-73.78492 40.71238)"
"ONEIDA","738290","Store","A","PARKWAY DRUGS OF ONEIDA CO SOUTH INC","PARKWAY DRUGS OF ONEIDA CO SOUTH","485","FRENCH RD",,,"UTICA","NY","13502",,"POINT (-75.28189 43.08518)"
"NIAGARA","738280","Store","AC","WOODCOCK BROS BREWING COMPANY INC","WOODCOCK BROS BREWING","908","NIAGARA FALLS BLVD STE 108 ###",,,"NORTH TONAWANDA","NY","14120","5,500","POINT (-78.84257 43.06094)"
"MADISON","738278","Store","AC","FURNER J / WRATTEN G","COUNTRY PEDDLER","2434","POOLVILLE RD",,,"HUBBARDSVILLE","NY","13355","1,500","POINT (-75.46387 42.81743)"
"MONROE","738273","Store","AC","ALMAR MEAT MARKETS LLC","EMPIRE MEATS 3","1337","GOODMAN ST. NORTH",,,"ROCHESTER","NY","14609","1,000","POINT (-77.5758 43.17932)"
"SUFFOLK","738269","Store","ABC","EAST HAMPTON MARKET & DELI INC","EAST HAMPTON MARKET","36","RACE LANE ####",,,"EAST HAMPTON","NY","11937","1,800","POINT (-72.19498 40.96318)"
"KINGS","738264","Store","A","NPA PHARMACEUTICALS LLC","THRIFTCARE PHARMACY","1717","FOSTER AVE",,,"BROOKLYN","NY","11230","2,500","POINT (-73.96061 40.63527)"
"KINGS","738262","Store","AC","COSTA DEL SUR DELI CORP","COSTA DEL SUR DELI","2952","FULTON STREET",,,"BROOKLYN","NY","11207","800","POINT (-73.88586 40.67957)"
"MONROE","738261","Store","AC","HUDSON EXPRESS CONVENIENCE INC","HUDSON EXPRESS CONVENIENCE","865","HUDSON AVENUE",,,"ROCHESTER","NY","14621",,"POINT (-77.5995 43.18047)"
"KINGS","738260","Store","AC","LOS 3 HERMANOS CORP","LOS 3 HERMANOS","8742","25TH AVENUE",,,"BROOKLYN","NY","11214","1,500","POINT (-73.99015 40.59509)"
